titik_sampel;lintang_selatan;bujur_timur;jenis_parameter;parameter;baku_mutu;hasil_pengukuran;periode_data;periode_pemantauan;bulan_sampling;nama_sungai;alamat
ANK-2;-6,158863;106,763746;Kimia;H2S;0,002;0,086;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Klorin Bebas;0,03;0,015;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Hg;0,002;0,0002;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cd;0,01;0,0059;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Zn;0,05;0,0069;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cu;0,02;0,009;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Pb;0,03;0,019;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Cr6+;0,05;0,0029;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Minyak dan Lemak;1;0,56;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;MBAS;0,2;0,03;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Fenol;0,005;0,0037;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Total Coliform;5000;5000000;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Biologi;Fecal Coliform;1000;3500000;2023;Periode 3 (Musim Kemarau);8;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Fisika;TDS;1000;409,7;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;FIsika;TSS;50;38;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;pH;6-9;6,94;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;BOD;3;33,48;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;COD;25;198;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;DO;4;0,35;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrat;10;0,539;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Nitrit;0,06;0,03;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
ANK-2;-6,158863;106,763746;Kimia;Total P;0,2;1,92;2023;Periode 4 (Musim Peralihan);9;Angke;Jl. Daan Mogot (Pesing)
